0,,,,,,,,,,,,,,
-53.096,-52.615,-52.753,-66.039,-54.600,-52.734,-71.5695,-51.8432,-54.0075,-57.757,-50.653,-52.698,,,
-49.623,-50.850,-52.539,-54.126,-52.556,-53.596,-61.354,-50.284,-53.2501,-55.757,-49.835,-52.162,,,
-49.711,-53.829,-52.469,-53.296,-53.301,-54.457,-60.6017,-51.0033,-52.4927,-55.711,-52.049,-51.994,,,
-49.000,-54.166,-53.145,-54.478,-54.469,-55.188,-61.6725,-51.9035,-53.9415,-56.521,-53.257,-53.786,,,
-51.983,-55.075,-54.040,-56.358,-55.355,-55.299,-63.0083,-52.3228,-55.3902,-56.865,-54.007,-55.096,,,
,,,,,,,,,,,,,,
7.500,,,,,,,,,,,,,,
-84.434,-70.119,-69.974,-81.650,-66.968,-64.332,,,,,,,,,
-70.721,-67.656,-69.761,-71.438,-65.086,-64.033,,,,,,,,,
-71.862,-68.020,-70.891,-71.512,-66.471,-66.889,,,,,,,,,
-72.625,-70.015,-71.742,-72.557,-68.085,-67.619,,,,,,,,,
-72.943,-71.306,-73.895,-74.314,-69.509,-68.758,,,,,,,,,
,,,,,,,,,,,,,,
12.500,,,,,,,,,,,,,,
-87.557,-79.463,-75.457,-89.316,-76.763,-73.713,-89.750,-79.014,-79.003,-93.338,-79.970,-78.038,,,
-79.136,-78.017,-75.020,-79.194,-74.970,-73.178,-80.363,-77.577,-78.324,-85.084,-80.541,-77.616,,,
-79.531,-81.002,-76.365,-80.863,-77.255,-72.642,-81.198,-79.363,-79.971,-85.169,-80.954,-78.962,,,
-81.699,-81.436,-76.782,-82.286,-78.367,-75.288,-81.538,-79.457,-81.191,-86.361,-82.648,-81.199,,,
-82.679,-83.107,-77.521,-84.657,-80.025,-76.797,-82.724,-80.529,-83.022,-87.887,-85.387,-82.738,,,
,,,,,,,,,,,,,,
5.000,,,,,,,,,,,,,,
-71.340,-63.856,,-64.550,-58.08750298,-62.772,-70.78798676,-61.45086294,-60.6762736,,,,,,
